state,w,b
000111000000010000000000002100020001112232211100020001000020000000010000000111000,4,12
010001020000010000000100020100020100112232011100020001000020000000010000000111000,0,1
000001000010100000020000001000000100102000000000020000003020201200002000011000100,2,0
000111000000000100020000010001220001013000201102020001000202000010000000000011000,2,0
000010000002010000001000000000100201110232211100020000000020000000010000000111000,0,2
000000010002010000003100000000200100100001001101200201000201000000000000000110000,1,0
000111010000010000000200000100020001112032201100220001000020000000010000000111000,0,2
000011000001000001110020100000302000100202001002020201000020000101000100000101010,2,0
000000020000000000000001000000200200012030201000010000000200000000010000000100000,2,0
000011000000010000000030000101000000110102211100202001000020000000010000000111000,0,1
000010000000000000000110000100001001100100211002001000103000020000000100000011000,0,1
000010101101000100010020000000302000100202010002020201010020000000000010110000011,2,0
000100000000000020002000100001003201100000200000202100000221000000010000000000000,2,0
000111000000010000000020000100220001100130211000102001000020000000210000000011000,0,1
101000000000000000101020010000200000012030011000022000010002200000000000000000000,1,0
000010000000000000000012000100000001110001011000131021000020000000010000000010000,0,2
000011000010000000001020000120000301002202211120200001000000000100010000001011000,2,0
000111000000000000000202000100030001112201011001020100000020000000010000000110000,0,1
000111000000000100020000010001220001113002201002020001000200000000010000000011000,2,0
010000010000000020120200021000030000002000000000000200010000000000001000001000100,2,0
100000000020000000010111000000000101102230101100020100200100000000000100000011000,0,1
000011000000010000020100000000000101112232211100020001000020000000010000000111000,0,1
001011000010000000000020000110022010102000011100020001000320000000210000000111200,1,0
000111000000000000000000000000210100112002211101000000000000000000300001000111000,1,0
100000000000000000010001000001000101100000001001130100002021000000000100000000000,0,1
000111000000010000000020000100220001110000211001012301000000010000000100000000002,1,0
000010000000000000001301100000000200000100000000101000000002000001000000010010000,0,2
000111000001000000010000020100002001102202201000030201000200010000010000100010000,1,0
000110000000010000000020000100202001110131011100020001000020000000012000000011000,0,2
000111000000010000000020000100022001112230211001002001000020000000010000000111000,0,2
100000001000000000000020000000202000010300211002020000002020000000000000100000000,2,0
000011010100000000000120000001020001100100100100000200023000001000000000000111000,2,0
101001000000002000110200000000200001002030011100020001010002200000000000000000000,1,0
000110000000010000000201000100000001112031000000212001000000000000000000000110000,0,1
000010000000000020001020100001201000100130201100012001022001100000010000001010000,0,1
000111000001000000010020010100020001102232201102000001000000000001000000000111002,0,1
